model,method,attempted,safe_full_pass,secure_pass_at_1,safe_at_full_pass,safe_at_full_pass_denominator,baseline_solagent_findings_with_n,baseline_solagent_findings_per_kloc,solagent_finding_count_reduction
claude-sonnet-4-5,SolAgent,81,5,0.06172839506172839,0.11904761904761904,42,,,
claude-sonnet-4-5,RawModel,81,3,0.037037037037037035,0.14285714285714285,21,83/78 (n=20),27.82/26.93,0.060240963855421686
claude-sonnet-4-5,MetaGPT,81,2,0.024691358024691357,0.125,16,46/51 (n=14),30.32/39.23,-0.10869565217391304
claude-sonnet-4-5,DeepCode,81,1,0.012345679012345678,0.058823529411764705,17,81/81 (n=17),60.99/61.27,0.0
claude-sonnet-4-5,QwenAgent,81,3,0.037037037037037035,0.13636363636363635,22,80/77 (n=21),23.39/25.29,0.0375
claude-sonnet-4-5,Copilot,81,1,0.012345679012345678,0.043478260869565216,23,104/101 (n=22),55.17/59.06,0.028846153846153848
gpt-5-mini,SolAgent,81,3,0.037037037037037035,0.15,20,,,
gpt-5-mini,RawModel,81,1,0.012345679012345678,0.1,10,22/25 (n=6),101.38/105.04,-0.13636363636363635
gpt-5-mini,MetaGPT,81,0,0.0,0.0,5,8/8 (n=2),90.91/86.96,0.0
gpt-5-mini,DeepCode,81,0,0.0,0.0,12,33/34 (n=8),29.31/25.70,-0.030303030303030304
gpt-5-mini,QwenAgent,81,2,0.024691358024691357,0.15384615384615385,13,31/30 (n=9),25.66/27.37,0.03225806451612903
gpt-5-mini,Copilot,81,2,0.024691358024691357,0.14285714285714285,14,32/33 (n=8),32.82/40.74,-0.03125
gpt-5.1,SolAgent,81,5,0.06172839506172839,0.21739130434782608,23,,,
gpt-5.1,RawModel,81,2,0.024691358024691357,0.11764705882352941,17,63/61 (n=17),31.03/31.85,0.031746031746031744
gpt-5.1,MetaGPT,81,2,0.024691358024691357,0.16666666666666666,12,30/30 (n=9),23.33/23.79,0.0
gpt-5.1,DeepCode,81,3,0.037037037037037035,0.21428571428571427,14,34/35 (n=12),23.32/24.84,-0.029411764705882353
gpt-5.1,QwenAgent,81,2,0.024691358024691357,0.15384615384615385,13,47/46 (n=12),32.02/35.58,0.02127659574468085
gpt-5.1,Copilot,81,2,0.024691358024691357,0.13333333333333333,15,44/44 (n=14),28.70/27.73,0.0
